statename,year,county,status,combustion_technology,emission_factor_kg_of_co2_per_tj,annual_co2_million_tonnes_annum,lifetime_co2
Illinois,1965,Will,retired,subcritical,96100,3.3,0
Illinois,1966,Will,retired,subcritical,96100,3.3,0
Illinois,1959,Will,retired,subcritical,96100,1.9,0
West Virginia,1958,Marshall,retired,subcritical,94600,1.3,0
West Virginia,1958,Marshall,retired,subcritical,94600,1.3,0
West Virginia,1959,Marshall,retired,subcritical,94600,1.3,0
West Virginia,1953,Kanawha,retired,subcritical,94600,1.2,0
West Virginia,1953,Kanawha,retired,subcritical,94600,1.2,0
South Carolina,1999,NA,retired,subcritical,96100,0.5,0
Ohio,1982,Adams,retired,subcritical,94600,3.2,0
Pennsylvania,1989,NA,retired,subcritical,98300,0.3,0
Georgia,1958,Chatham,retired,subcritical,94600,0.3,0
Georgia,1961,Chatham,retired,subcritical,94600,0.3,0
Georgia,1965,Chatham,retired,subcritical,94600,0.6,0
Missouri,1966,NA,retired,subcritical,94600,0.5,0
Ohio,1967,NA,retired,subcritical,96100,0.5,0
Ohio,1962,Cuyahoga,retired,subcritical,94600,1.4,0
Illinois,1961,NA,retired,subcritical,96100,0.2,0
Illinois,1965,NA,retired,subcritical,96100,0.2,0
Iowa,1957,Allamakee,retired,subcritical,95350,0.2,0
Florida,1965,Bay,retired,subcritical,94600,0.8,0
Florida,1967,Bay,retired,subcritical,94600,1.1,0
Kansas,1955,Douglas,retired,subcritical,96100,0.3,0
North Carolina,1951,Wayne,retired,subcritical,94600,0.5,0
North Carolina,1952,Wayne,retired,subcritical,94600,0.5,0
North Carolina,1962,Wayne,retired,subcritical,94600,1.4,0
Montana,1958,NA,retired,subcritical,101000,0.3,0
New York,1966,NA,retired,subcritical,96100,1,0
New York,1969,NA,retired,subcritical,96100,1.1,0
Maryland,1958,NA,retired,subcritical,94600,0.2,0
Maryland,1979,NA,retired,subcritical,94600,0.2,0
North Carolina,1985,NA,retired,subcritical,96100,0.2,0
Illinois,1978,Williamson,retired,subcritical,94600,1,0
Colorado,1962,El Paso,retired,subcritical,96100,0.3,0
Colorado,1968,El Paso,retired,subcritical,96100,0.4,0
Colorado,1974,El Paso,retired,subcritical,96100,0.8,0
Pennsylvania,1954,NA,retired,subcritical,96100,0.9,0
Pennsylvania,1956,NA,retired,subcritical,96100,0.9,0
Michigan,1943,St. Clair,retired,subcritical,94600,0.4,0
Michigan,1947,St. Clair,retired,subcritical,94600,0.4,0
Georgia,1963,Cobb,retired,subcritical,94600,1.7,0
Georgia,1964,Cobb,retired,subcritical,94600,1.7,0
Georgia,1979,Effingham,retired,subcritical,94600,1,0
South Carolina,1958,Lexington,retired,subcritical,94600,0.8,0
South Carolina,1958,Lexington,retired,subcritical,94600,0.8,0
Virginia,1992,Mecklenburg,retired,subcritical,94600,0.4,0
Virginia,1992,Mecklenburg,retired,subcritical,94600,0.4,0
Missouri,1953,St Louis,retired,subcritical,95350,0.8,0
Missouri,1954,St Louis,retired,subcritical,95350,0.8,0
New Jersey,1960,Mercer,retired,subcritical,94600,1.7,0
New Jersey,1961,Mercer,retired,subcritical,94600,1.7,0
Illinois,1948,Morgan,retired,subcritical,95350,0.3,0
Illinois,1949,Morgan,retired,subcritical,95350,0.3,0
Illinois,1960,Morgan,retired,subcritical,95350,1.4,0
Ohio,1949,Hamilton,retired,subcritical,96100,0.6,0
Ohio,1960,Hamilton,retired,subcritical,94600,0.9,0
Iowa,1967,Clinton,retired,subcritical,94600,1.2,0
Pennsylvania,1963,Washington,retired,subcritical,94600,1.7,0
Georgia,1964,Dougherty,retired,subcritical,94600,0.9,0
Alabama,1985,NA,retired,subcritical,96100,0.2,0
Alabama,1985,NA,retired,subcritical,96100,0.2,0
Nevada,1970,NA,retired,subcritical,96100,4,0
Nevada,1971,NA,retired,subcritical,96100,4,0
Texas,1974,Titus,retired,supercritical,98550,2.9,0
Texas,1975,Titus,retired,supercritical,98550,2.9,0
Texas,1978,Titus,retired,supercritical,98550,3.9,0
Missouri,1958,Henry,retired,subcritical,96100,1.1,0
Missouri,1960,Henry,retired,subcritical,96100,1.1,0
Missouri,1964,Henry,retired,subcritical,96100,1.1,0
West Virginia,1991,NA,retired,subcritical,94600,0.4,0
Mississippi,1978,Lamar,retired,subcritical,94600,1.1,0
Mississippi,1978,Lamar,retired,subcritical,94600,1.1,0
Massachusetts,1960,Hampden,retired,subcritical,94600,0.8,0
California,1989,NA,retired,subcritical,96100,0.3,0
Ohio,1953,Washington,retired,subcritical,94600,1.2,0
Ohio,1954,Washington,retired,subcritical,94600,1.2,0
Ohio,1957,Washington,retired,subcritical,94600,1.3,0
Ohio,1958,Washington,retired,subcritical,94600,1.3,0
Ohio,1968,Washington,retired,supercritical,94600,2.9,0
Oklahoma,1977,Muskogee,retired,subcritical,96100,2.8,0
Oklahoma,1978,Muskogee,retired,subcritical,96100,2.8,0
Oklahoma,1979,Muskogee,retired,subcritical,94600,0.3,0
Oklahoma,1982,Muskogee,retired,subcritical,94600,0.3,0
Wyoming,1971,Lincoln,retired,subcritical,96100,2,0
Arizona,1974,Coconino,retired,supercritical,94600,3.8,0
Arizona,1975,Coconino,retired,supercritical,94600,3.8,0
Arizona,1976,Coconino,retired,supercritical,94600,3.8,0
Wisconsin,1959,Grant,retired,subcritical,95350,0.6,0
Wisconsin,1962,Grant,retired,subcritical,95350,0.6,0
Pennsylvania,1952,Lawrence,retired,subcritical,94600,0.6,0
Pennsylvania,1958,Lawrence,retired,subcritical,94600,0.6,0
Pennsylvania,1964,Lawrence,retired,subcritical,94600,0.8,0
Illinois,1982,Jasper,retired,subcritical,96100,3,0
Ohio,1954,Trumbull,retired,subcritical,94600,0.7,0
Ohio,1954,Trumbull,retired,subcritical,94600,0.7,0
West Virginia,1992,NA,retired,subcritical,94600,0.4,0
Nebraska,1954,Douglas,retired,subcritical,96100,0.4,0
Nebraska,1957,Douglas,retired,subcritical,96100,0.6,0
Nebraska,1959,Douglas,retired,subcritical,96100,0.6,0
Minnesota,1971,NA,retired,subcritical,96100,0.2,0
Oklahoma,1980,Rogers,retired,supercritical,96100,2.3,0
Colorado,1991,Montrose,retired,subcritical,94600,0.4,0
Texas,1986,Wilbarger,retired,subcritical,96100,3.5,0
Kentucky,1963,Muhlenberg,retired,subcritical,94600,3.4,0
Kentucky,1963,Muhlenberg,retired,subcritical,94600,3.4,0
Kentucky,1970,Muhlenberg,retired,supercritical,95350,5.4,0
Indiana,1967,Pike,retired,subcritical,94600,1.6,0
West Virginia,1950,Mason,retired,subcritical,94600,0.9,0
West Virginia,1950,Mason,retired,subcritical,94600,0.9,0
West Virginia,1951,Mason,retired,subcritical,94600,0.9,0
West Virginia,1952,Mason,retired,subcritical,94600,0.9,0
West Virginia,1960,Mason,retired,supercritical,94600,2.3,0
Ohio,1955,Pickaway,retired,subcritical,94600,0.6,0
Pennsylvania,1992,NA,retired,subcritical,94600,0.2,0
Wisconsin,1980,Kenosha,retired,subcritical,96100,3,0
Wisconsin,1985,Kenosha,retired,subcritical,96100,3,0
Wisconsin,1935,NA,retired,subcritical,96100,0.5,0
Wisconsin,1943,NA,retired,subcritical,96100,0.5,0
Wisconsin,1948,NA,retired,subcritical,96100,0.5,0
Wisconsin,1949,NA,retired,subcritical,96100,0.5,0
Pennsylvania,1958,Northampton,retired,subcritical,94600,1,0
Pennsylvania,1962,Northampton,retired,subcritical,94600,1.4,0
Virginia,1949,Alexandria,retired,subcritical,94600,0.5,0
Virginia,1950,Alexandria,retired,subcritical,94600,0.5,0
Virginia,1954,Alexandria,retired,subcritical,94600,0.6,0
Virginia,1956,Alexandria,retired,subcritical,94600,0.6,0
Virginia,1957,Alexandria,retired,subcritical,94600,0.6,0
West Virginia,1966,Marshall,retired,subcritical,94600,0.5,0
Iowa,1967,Linn,retired,subcritical,94600,0.8,0
Michigan,1962,Marquette,retired,subcritical,96100,0.2,0
Michigan,1964,Marquette,retired,subcritical,96100,0.3,0
Michigan,1966,Marquette,retired,subcritical,96100,0.3,0
Michigan,1974,Marquette,retired,subcritical,94600,0.5,0
Michigan,1975,Marquette,retired,subcritical,94600,0.5,0
Michigan,1978,Marquette,retired,subcritical,96100,0.5,0
Michigan,1978,Marquette,retired,subcritical,96100,0.5,0
Michigan,1979,Marquette,retired,subcritical,96100,0.5,0
Wisconsin,1943,Brown,retired,subcritical,96100,0.2,0
Wisconsin,1947,Brown,retired,subcritical,96100,0.2,0
Wisconsin,1949,Brown,retired,subcritical,96100,0.3,0
Wisconsin,1951,Brown,retired,subcritical,96100,0.4,0
Wisconsin,1958,Brown,retired,subcritical,96100,0.5,0
Wisconsin,1964,Brown,retired,subcritical,96100,0.9,0
Indiana,1995,NA,retired,subcritical,94600,0.2,0
Kansas,1965,Wyandotte,retired,subcritical,96100,0.5,0
Kansas,1971,Wyandotte,retired,subcritical,96100,0.9,0
Maryland,1958,Washington,retired,subcritical,94600,0.4,0
Maryland,1947,Washington,retired,subcritical,94600,0.2,0
Kentucky,1966,NA,retired,subcritical,94600,0.5,0
Nevada,1965,Clark,retired,subcritical,94600,0.6,0
Nevada,1968,Clark,retired,subcritical,94600,0.6,0
Nevada,1976,Clark,retired,subcritical,94600,0.6,0
Nevada,1983,Clark,retired,subcritical,95350,1.7,0
Ohio,1988,Washington,retired,subcritical,94600,0.3,0
Ohio,1988,Washington,retired,subcritical,94600,0.3,0
Ohio,1988,Washington,retired,subcritical,94600,0.3,0
Ohio,1988,Washington,retired,subcritical,94600,0.3,0
California,1989,NA,retired,subcritical,94600,0.2,0
California,1989,NA,retired,subcritical,96100,0.2,0
Michigan,1957,Wayne,retired,subcritical,94600,1.6,0
Michigan,1958,Wayne,retired,subcritical,94600,1.9,0
North Carolina,1952,Gaston,retired,subcritical,94600,0.6,0
North Carolina,1952,Gaston,retired,subcritical,94600,0.6,0
North Carolina,1954,Gaston,retired,subcritical,94600,0.7,0
North Carolina,1954,Gaston,retired,subcritical,94600,0.7,0
Minnesota,1987,NA,retired,subcritical,96100,0.9,0
Minnesota,1964,NA,retired,subcritical,96100,1.4,0
Iowa,1961,Scott,retired,subcritical,94600,0.8,0
Kansas,1950,NA,retired,subcritical,96100,0.2,0
Kansas,1954,NA,retired,subcritical,96100,0.3,0
West Virginia,1943,Marion,retired,subcritical,94600,0.2,0
West Virginia,1951,Marion,retired,subcritical,94600,0.4,0
North Carolina,1994,Halifax,retired,subcritical,94600,1,0
North Carolina,1995,Halifax,retired,subcritical,94600,0.3,0
Maine,1990,Oxford,retired,subcritical,96100,0.6,0
New York,1949,NA,retired,subcritical,96100,0.3,0
New York,1951,NA,retired,subcritical,96100,0.4,0
New York,1953,NA,retired,subcritical,96100,0.4,0
New York,1957,NA,retired,subcritical,96100,0.5,0
Massachusetts,1952,Essex,retired,subcritical,94600,0.5,0
Massachusetts,1952,Essex,retired,subcritical,94600,0.5,0
Massachusetts,1958,Essex,retired,subcritical,94600,0.9,0
Ohio,1959,Jefferson,retired,subcritical,95350,1.1,0
Ohio,1960,Jefferson,retired,subcritical,95350,1.1,0
Ohio,1961,Jefferson,retired,subcritical,95350,1.1,0
Ohio,1962,Jefferson,retired,subcritical,95350,1.1,0
New Mexico,1976,San Juan,retired,subcritical,96100,2,0
New Mexico,1979,San Juan,retired,subcritical,96100,2.7,0
Texas,1953,Milam,retired,subcritical,101000,0.7,0
Texas,1954,Milam,retired,subcritical,101000,0.7,0
Texas,1954,Milam,retired,subcritical,101000,0.7,0
Texas,1981,Milam,retired,supercritical,101000,3,0
Texas,2009,Milam,retired,subcritical,101000,2.7,0
Indiana,1976,Jasper,retired,supercritical,95350,2.6,0
Indiana,1979,Jasper,retired,subcritical,95350,2.7,0
Georgia,1989,Monroe,retired,subcritical,96100,4.4,0
New Hampshire,1955,Rockingham,retired,subcritical,94600,0.3,0
Florida,1953,NA,retired,subcritical,94600,0.3,0
Florida,1953,NA,retired,subcritical,94600,0.3,0
Pennsylvania,1950,Indiana,retired,subcritical,96100,0.4,0
Pennsylvania,1957,Indiana,retired,subcritical,96100,0.9,0
Kentucky,1956,McCracken,retired,subcritical,94600,1,0
Pennsylvania,1954,Clearfield,retired,subcritical,94600,0.7,0
Pennsylvania,1954,Clearfield,retired,subcritical,94600,0.7,0
Pennsylvania,1959,Clearfield,retired,subcritical,94600,1.1,0
Pennsylvania,1960,Clearfield,retired,subcritical,94600,1.1,0
Michigan,1983,NA,retired,subcritical,96100,0.3,0
Missouri,1960,Jackson,retired,subcritical,94600,0.3,0
Missouri,1962,Jackson,retired,subcritical,94600,0.3,0
Missouri,1969,Jackson,retired,supercritical,94600,2.1,0
Minnesota,1969,NA,retired,subcritical,96100,0.3,0
Michigan,1983,NA,retired,subcritical,94600,0.5,0
New York,1984,Niagara,retired,subcritical,94600,3.3,0
Massachusetts,1951,Bristol,retired,subcritical,94600,0.4,0
Massachusetts,1959,Bristol,retired,subcritical,94600,0.6,0
Virginia,1992,NA,retired,subcritical,96100,0.4,0
Virginia,1992,City of Richmond,retired,subcritical,94600,0.3,0
Virginia,1992,City of Richmond,retired,subcritical,94600,0.3,0
Virginia,1992,City of Richmond,retired,subcritical,94600,0.3,0
Virginia,1992,City of Richmond,retired,subcritical,94600,0.3,0
Virgin Islands,1964,NA,retired,subcritical,96100,0.2,0
Michigan,1953,St Clair,retired,subcritical,96100,1,0
Michigan,1954,St Clair,retired,subcritical,96100,1,0
Florida,1987,Duval,retired,subcritical,94600,3.3,0
Florida,1988,Duval,retired,subcritical,94600,3.3,0
North Dakota,1967,Mercer,retired,subcritical,96100,1.1,0
Indiana,1955,Lake,retired,subcritical,96100,0.6,0
Indiana,1955,Lake,retired,subcritical,96100,0.7,0
Indiana,1962,Lake,retired,subcritical,96100,1,0
Indiana,1962,Lake,retired,subcritical,96100,1.2,0
California,1988,NA,retired,subcritical,94600,0.3,0
Wisconsin,1952,NA,retired,subcritical,96100,0.2,0
Iowa,1973,NA,retired,subcritical,96100,0.2,0
Ohio,1970,Adams,retired,supercritical,94600,2.9,0
Ohio,1971,Adams,retired,supercritical,94600,2.9,0
Ohio,1972,Adams,retired,supercritical,94600,2.9,0
Ohio,1974,Adams,retired,supercritical,94600,2.9,0
Pennsylvania,1949,Snyder,retired,subcritical,98300,0.5,0
Pennsylvania,1949,Snyder,retired,subcritical,98300,0.5,0
Pennsylvania,1951,Snyder,retired,subcritical,98300,0.6,0
Pennsylvania,1953,Snyder,retired,subcritical,98300,0.9,0
Iowa,1955,Marshall,retired,subcritical,96100,0.2,0
Iowa,1955,Marshall,retired,subcritical,96100,0.2,0
Iowa,1961,Marshall,retired,subcritical,96100,0.5,0
North Carolina,1954,New Hanover,retired,subcritical,94600,0.6,0
North Carolina,1955,New Hanover,retired,subcritical,94600,0.6,0
North Carolina,1972,New Hanover,retired,subcritical,94600,2.3,0
Minnesota,1953,St Louis,retired,subcritical,96100,0.3,0
Minnesota,1953,St Louis,retired,subcritical,96100,0.3,0
Minnesota,1967,Cook,retired,subcritical,94600,0.5,0
Indiana,1951,Dearborn,retired,subcritical,94600,0.9,0
Indiana,1952,Dearborn,retired,subcritical,94600,0.9,0
Indiana,1954,Dearborn,retired,subcritical,94600,1.2,0
Indiana,1964,Dearborn,retired,supercritical,95350,2.7,0
Kansas,1957,Shawnee,retired,subcritical,96100,0.5,0
Kansas,1962,Shawnee,retired,subcritical,96100,0.9,0
Pennsylvania,1951,Berks,retired,subcritical,94600,0.4,0
Pennsylvania,1951,Berks,retired,subcritical,94600,0.4,0
Pennsylvania,1953,Berks,retired,subcritical,94600,0.4,0
North Carolina,1985,NA,retired,subcritical,96100,0.2,0
North Carolina,1985,NA,retired,subcritical,96100,0.2,0
Michigan,1949,Wayne,retired,subcritical,95350,0.7,0
Michigan,1950,Wayne,retired,subcritical,95350,0.7,0
New York,1991,Onondaga,retired,subcritical,94600,0.5,0
Kentucky,1953,NA,retired,subcritical,94600,0.4,0
South Carolina,1953,Aiken,retired,subcritical,96100,0.4,0
South Carolina,1954,Aiken,retired,subcritical,96100,0.4,0
South Carolina,1955,Aiken,retired,subcritical,96100,0.6,0
Utah,1943,Salt Lake,retired,subcritical,94600,0.3,0
Utah,1958,Salt Lake,retired,subcritical,94600,0.5,0
Wisconsin,1968,Milwaukee,retired,subcritical,94600,0.8,0
Wisconsin,1969,Milwaukee,retired,subcritical,94600,0.8,0
Colorado,1964,Boulder,retired,subcritical,96100,1.1,0
Illinois,1955,Vermilion,retired,subcritical,96100,0.4,0
Illinois,1956,Vermilion,retired,subcritical,96100,0.6,0
South Carolina,1951,Anderson,retired,subcritical,94600,0.5,0
South Carolina,1951,Anderson,retired,subcritical,94600,0.5,0
South Carolina,1958,Anderson,retired,subcritical,94600,1,0
Indiana,1995,Vigo,retired,igcc,94600,0.5,0
Indiana,1995,Vigo,retired,igcc,94600,0.9,0
Indiana,1953,Vigo,retired,subcritical,94600,0.6,0
Indiana,1954,Vigo,retired,subcritical,94600,0.7,0
Indiana,1955,Vigo,retired,subcritical,94600,0.6,0
Indiana,1956,Vigo,retired,subcritical,94600,0.7,0
Indiana,1968,Vigo,retired,subcritical,94600,2,0
Iowa,1954,Pottawattamie,retired,subcritical,96100,0.3,0
Iowa,1958,Pottawattamie,retired,subcritical,96100,0.5,0
Pennsylvania,1948,Warren,retired,subcritical,94600,0.2,0
Pennsylvania,1949,Warren,retired,subcritical,94600,0.2,0
Tennessee,1942,Rhea,retired,subcritical,94600,0.3,0
Tennessee,1942,Rhea,retired,subcritical,94600,0.3,0
Tennessee,1943,Rhea,retired,subcritical,94600,0.3,0
Tennessee,1945,Rhea,retired,subcritical,94600,0.3,0
Illinois,1952,Lake,retired,subcritical,96100,0.7,0
Michigan,1955,Bay,retired,subcritical,94600,0.9,0
Michigan,1958,Bay,retired,subcritical,94600,0.9,0
North Carolina,1949,Robeson,retired,subcritical,94600,0.3,0
North Carolina,1950,Robeson,retired,subcritical,94600,0.3,0
North Carolina,1952,Robeson,retired,subcritical,94600,0.4,0
Texas,1980,Titus,retired,subcritical,96100,2.7,0
Wisconsin,1954,Marathon,retired,subcritical,96100,0.3,0
Wisconsin,1960,Marathon,retired,subcritical,96100,0.5,0
South Carolina,1987,NA,retired,subcritical,96100,0.5,0
Pennsylvania,1988,NA,retired,subcritical,98300,0.3,0
Michigan,1952,Monroe,retired,subcritical,94600,0.6,0
Michigan,1952,Monroe,retired,subcritical,94600,0.6,0
Michigan,1953,Monroe,retired,subcritical,94600,0.7,0
Alabama,1952,Jackson,retired,subcritical,95350,0.8,0
Alabama,1952,Jackson,retired,subcritical,95350,0.8,0
Alabama,1952,Jackson,retired,subcritical,95350,0.8,0
Alabama,1953,Jackson,retired,subcritical,95350,0.8,0
Alabama,1954,Jackson,retired,subcritical,95350,0.8,0
Alabama,1954,Jackson,retired,subcritical,95350,0.8,0
Alabama,1961,Jackson,retired,subcritical,94600,2.8,0
Alabama,1965,Jackson,retired,subcritical,94600,2.7,0
Illinois,1955,Will,retired,subcritical,96100,1.1,0
Illinois,1955,Will,retired,subcritical,96100,1,0
Illinois,1957,Will,retired,subcritical,96100,1.7,0
West Virginia,1949,Pleasants,retired,subcritical,94600,0.3,0
West Virginia,1960,Pleasants,retired,subcritical,94600,0.9,0
Illinois,1954,Madison,retired,subcritical,96100,0.6,0
Illinois,1964,Madison,retired,subcritical,96100,2.1,0
Michigan,1986,NA,retired,subcritical,94600,0.2,0
Georgia,1950,Coweta,retired,subcritical,94600,0.7,0
Georgia,1950,Coweta,retired,subcritical,94600,0.7,0
Georgia,1952,Coweta,retired,subcritical,94600,0.7,0
Georgia,1957,Coweta,retired,subcritical,94600,0.9,0
Georgia,1958,Coweta,retired,subcritical,94600,0.9,0
Georgia,1974,Coweta,retired,subcritical,94600,2.1,0
Georgia,1974,Coweta,retired,subcritical,94600,2.1,0
Virginia,1957,York,retired,subcritical,94600,1.1,0
Virginia,1957,York,retired,subcritical,94600,1.1,0
